MovieID,Title,YearOfRelease,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Writer1,Writer2,Production Company,Country,Language,Duration
554,Solaris,1972,Drama, Mystery, Sci-Fi,Natalya Bondarchuk, Donatas Banionis, Jüri Järvet,Andrei Tarkovsky,,Stanislaw Lem, Fridrikh Gorenshteyn,Mosfilm,Soviet Union,"Russian, German",167
556,New Waterford Girl,1999,Comedy,,,Liane Balaban, Tara Spencer-Nairn, Mary Walsh,Allan Moyle,,Tricia Fish,,Sienna Films,Canada,English,97
557,Liebestraum,1991,Mystery, Thriller,,Kevin Anderson, Pamela Gidley, Bill Pullman,Mike Figgis,,Mike Figgis,,Initial Entertainment Group (IEG),USA,English,112
562,Bloody Mallory,2002,Action, Comedy, Horror,Olivia Bonamy, Adrià Collado, Jeffrey Ribier,Julien Magnat,,Stéphane Kazandjian, Julien Magnat,Alquimia Cinema,"France, Spain",French,94
564,Predator 2,1990,Action, Horror, Sci-Fi,Kevin Peter Hall, Danny Glover, Gary Busey,Stephen Hopkins,,Jim Thomas, John Thomas,Davis Entertainment,USA,English,108
566,Bullet,1996,Action, Crime, Drama,Mickey Rourke, Frank Senger, Adrien Brody,Julien Temple,,Mickey Rourke, Bruce Rubenstein,Clipsal Films,USA,English,96
567,Dunsmore,2003,Drama,,,Jeannetta Arnette, Rus Blackwell, W. Earl Brown,Peter Spirer,,Michael Andrews,,Aslan Productions,USA,English,89
570,The Visit,2000,Drama,,,Obba Babatundé, Charmin Lee White, Terrell Mitchell,Jordan Walker-Pearlman,,Kosmond Russell, Jordan Walker-Pearlman,DaWa Movies,USA,English,107
571,American Beauty,1999,Drama,,,Kevin Spacey, Annette Bening, Thora Birch,Sam Mendes,,Alan Ball,,DreamWorks,USA,English,122
591,Particles of Truth,2003,Drama,,,Jennifer Elster, Gale Harold, Susan Floyd,Jennifer Elster,,Jennifer Elster,,75 Films,USA,English,101
607,Speed,1994,Action, Adventure, Thriller,Keanu Reeves, Dennis Hopper, Sandra Bullock,Jan de Bont,,Graham Yost,,The Mark Gordon Company,USA,English,116
614,Bad Boy Bubby,1993,Comedy, Crime, Drama,Nicholas Hope, Claire Benito, Ralph Cotterill,Rolf de Heer,,Rolf de Heer,,Bubby,"Australia, Italy",English,114
615,An Ideal Husband,1999,Comedy, Romance,,James Wilby, Sadie Frost, Jonathan Firth,William P. Cartlidge,,Oscar Wilde, William P. Cartlidge,Wilde Films Plc,UK,English,90
622,Talkin' Dirty After Dark,1991,Comedy,,,Martin Lawrence, John Witherspoon, Phyllis Yvonne Stickney,Topper Carew,,Topper Carew,,New Line Cinema,USA,English,89
628,Rescue Heroes: The Movie,2003,Animation, Action, Family,Norm Spencer, Joseph Motiki, Lenore Zann,Ron Pitts,,Brent Piaskoski,,Nelvana,Canada,English,83
633,Baazigar,1993,Crime, Drama, Musical,Shah Rukh Khan, Kajol, Dalip Tahil,Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla,Robin Bhatt, Akash Khurana,United Seven Combines,India,Hindi,175
645,Dear Frankie,2004,Drama, Romance,,Emily Mortimer, Jack McElhone, Mary Riggans,Shona Auerbach,,Andrea Gibb,,Pathé Pictures International,UK,"English, British Sign Language",105
662,Rob Roy,1995,Adventure, Biography, Drama,Liam Neeson, Jessica Lange, John Hurt,Michael Caton-Jones,,Alan Sharp,,United Artists,UK,English,139
676,Mafia!,1998,Comedy, Crime,,Jay Mohr, Billy Burke, Christina Applegate,Jim Abrahams,,Jim Abrahams, Greg Norberg,Tapestry Films,USA,"English, Italian",87
680,Better Than Sex,2000,Comedy, Drama, Romance,David Wenham, Susie Porter, Kris McQuade,Jonathan Teplitzky,,Jonathan Teplitzky,,Better Than,"Australia, France",English,95
725,Woman Thou Art Loosed,2004,Drama,,,Kimberly Elise, Loretta Devine, Debbi Morgan,Michael Schultz,,T.D. Jakes, Stan Foster,T.D. Jakes Ministries,USA,English,94
726,The Haunting of Morella,1990,Horror, Romance, Thriller,David McCallum, Nicole Eggert, Christopher Halsted,Jim Wynorski,,Edgar Allan Poe, R.J. Robertson,Concorde-New Horizons,USA,English,82
731,Mr. Magoo,1997,Adventure, Comedy, Family,Leslie Nielsen, Kelly Lynch, Matt Keeslar,Stanley Tong,,Pat Proft, Tom Sherohman,Walt Disney Pictures,USA,English,87
739,Treading Water,2001,Drama,,,Angie Redman, Nina Landey, Annette Miller,Lauren Himmelvo,,Lauren Himmelvo, Julia Hollinger,Tunnel Vision Productions,USA,English,94
749,Ernest Goes to Jail,1990,Comedy, Crime, Family,Jim Varney, Gailard Sartain, Bill Byrge,John R. Cherry III,,Charlie Cohen,,Touchstone Pictures,USA,English,81
758,Mean Girls,2004,Comedy,,,Lindsay Lohan, Rachel McAdams, Tina Fey,Mark Waters,,Rosalind Wiseman, Tina Fey,Paramount Pictures,"USA, Canada","English, German, Vietnamese, Swahili",97
785,American Pop,1981,Animation, Drama, History,Ron Thompson, Mews Small, Jerry Holland,Ralph Bakshi,,Ronni Kern,,Bakshi Productions,USA,"English, Hebrew, Russian, Yiddish",96
803,Soul Assassin,2001,Crime, Thriller, Action,Skeet Ulrich, Kristy Swanson, Derek de Lint,Laurence Malkin,,Chad Thumann, Laurence Malkin,Parabolic Pictures Inc.,Netherlands,English,96
808,Dead Man on Campus,1998,Comedy,,,Tom Everett Scott, Mark-Paul Gosselaar, Poppy Montgomery,Alan Cohn,,Anthony Abrams, Adam Larson Broder,Paramount Pictures,USA,English,96
809,Left Behind II: Tribulation Force,2002,Action, Drama, Fantasy,Kirk Cameron, Brad Johnson, Clarence Gilyard Jr.,Bill Corcoran,,John Patus, Paul Lalonde,Canadian Film or Video Production Tax Credit (CPTC),"USA, Canada",English,94
819,The Faculty,1998,Horror, Sci-Fi,,Jordana Brewster, Clea DuVall, Laura Harris,Robert Rodriguez,,David Wechter, Bruce Kimmel,Dimension Films,USA,English,104
823,Sleepaway Camp II: Unhappy Campers,1988,Comedy, Horror,,Pamela Springsteen, Renée Estevez, Tony Higgins,Michael A. Simpson,,Fritz Gordon, Robert Hiltzik,Double Helix Films,USA,English,80
824,A Piece of the Action,1977,Crime, Comedy,,Sidney Poitier, Bill Cosby, James Earl Jones,Sidney Poitier,,Charles Blackwell, Timothy March,First Artists,USA,English,135
831,Mannequin,1987,Comedy, Fantasy, Romance,Andrew McCarthy, Kim Cattrall, Estelle Getty,Michael Gottlieb,,Edward Rugoff, Michael Gottlieb,Gladden Entertainment,USA,English,90
838,Gang of Roses,2003,Action, Drama, Western,Monica Calhoun, Lil' Kim, Stacey Dash,Jean-Claude La Marre,,Jean-Claude La Marre,,Sleeping Giant Productions,USA,English,94
843,Mansfield Park,1999,Comedy, Drama, Romance,Hannah Taylor Gordon, Talya Gordon, Lindsay Duncan,Patricia Rozema,,Jane Austen, Patricia Rozema,Arts Council of England,UK,English,112
849,Mr. & Mrs. Bridge,1990,Drama,,,Paul Newman, Saundra McClain, Joanne Woodward,James Ivory,,Evan S. Connell, Ruth Prawer Jhabvala,Cineplex Odeon Films,"UK, USA, Canada","English, French",126
857,The Three Stooges Go Around the World in a Daze,1963,Comedy,,,Joe DeRita, Larry Fine, Moe Howard,Norman Maurer,,Norman Maurer, Elwood Ullman,Columbia Pictures,USA,English,94
859,Creepshow,1982,Comedy, Fantasy, Horror,Hal Holbrook, Adrienne Barbeau, Fritz Weaver,George A. Romero,,Stephen King,,Creepshow Films Inc.,USA,English,120
873,Boys Life 4: Four Play,2003,Comedy, Drama,,Cole Williams, Weston Mueller, Aimee Garcia,Phillip J. Bartell, Alan Brown,Phillip J. Bartell, Alan Brown,Strand Releasing,USA,English,83
875,Zakhm,1998,Drama,,,Ajay Devgn, Pooja Bhatt, Nagarjuna Akkineni,Mahesh Bhatt,,Mahesh Bhatt, Mahesh Bhatt,Pooja Bhatt Productions,India,Hindi,125
877,A Love Divided,1999,Biography, Drama, Romance,Orla Brady, Liam Cunningham, Sarah Bolger,Syd Macartney,,Deirdre Dowling, Gerry Gregg,British Broadcasting Corporation (BBC),"UK, Ireland",English,98
886,Ray,2004,Biography, Drama, Music,Jamie Foxx, Kerry Washington, Regina King,Taylor Hackford,,Taylor Hackford, James L. White,Universal Pictures,USA,English,152
902,Fascination,2004,Drama, Mystery, Romance,James Naughton, Jacqueline Bisset, Adam Garcia,Klaus Menzel,,Daryl Haney, John L. Jacobs,Quality Films,"Germany, UK",English,95
905,Remedy,2005,Crime, Drama,,Arthur J. Nascarella, Christian Maelen, Jon Doscher,Christian Maelen,,Sandy Eiges, Nicholas Reiner,Starline Films,USA,English,82
907,Animal Crackers,1930,Comedy, Musical,,The Marx Brothers, Groucho Marx, Harpo Marx,Victor Heerman,,George S. Kaufman, Morrie Ryskind,Paramount Pictures,USA,English,97
911,Buck Rogers,1939,Adventure, Family, Fantasy,Buster Crabbe, Constance Moore, Jackie Moran,Ford Beebe, Saul A. Goodkind,Norman S. Hall, Ray Trampe,Universal Pictures,USA,English,237
928,The Night That Never Happened,1997,Drama,,,Kira Reed Lorsch, Joshua D. Comen, Scott Coppola,James Wvinner,,Sahara Riley,,Mystique Films Inc.,USA,English,95
940,Hercules,1997,Animation, Adventure, Comedy,Tate Donovan, Josh Keaton, Roger Bart,Ron Clements, John Musker,Ron Clements, John Musker,Walt Disney Pictures,"USA, France","English, Spanish, Greek",93
946,Sex and the Teenage Mind,2002,Comedy,,,Jay Michael Ferguson, Allison Lange, Michael Bower,Donald L. Gold,,Donald L. Gold, Donald L. Gold,Goldade Productions,USA,English,91
948,Aap Mujhe Achche Lagne Lage,2002,Action, Drama, Romance,Hrithik Roshan, Ameesha Patel, Kiran Kumar,Vikram Bhatt,,Robin Bhatt, Girish Dhamija,Emkay Films,India,Hindi,180
953,Fahrenheit 451,1966,Drama, Sci-Fi,,Julie Christie, Oskar Werner, Cyril Cusack,François Truffaut,,François Truffaut, Jean-Louis Richard,Anglo Enterprises,UK,English,112
967,Main Hoon Na,2004,Action, Comedy, Drama,Shah Rukh Khan, Sushmita Sen, Sunil Shetty,Farah Khan,,Farah Khan, Abbas Tyrewala,Red Chillies Entertainment,India,Hindi,182
969,Stripteaser,1995,Comedy, Thriller,,Maria Ford, Rick Dean, Lance August,Dan Golden,,Duane Whitaker,,Concorde-New Horizons,USA,English,74
975,Convict 762,1997,Action, Mystery, Sci-Fi,Shannon Sturges, Michole Briana White, Charlie Spradling,Luca Bercovici,,J. Reifel,,EGM Film International,USA,English,97
982,Dil Chahta Hai,2001,Comedy, Drama, Romance,Aamir Khan, Saif Ali Khan, Akshaye Khanna,Farhan Akhtar,,Kassim Jagmagia, Farhan Akhtar,Excel Entertainment,India,Hindi,183
986,The Trip,2002,Comedy, Drama, Romance,Larry Sullivan, Steve Braun, Ray Baker,Miles Swain,,Miles Swain,,Falcon Lair Films,USA,English,95
989,The Door in the Floor,2004,Comedy, Drama,,Elle Fanning, Jeff Bridges, Kim Basinger,Tod Williams,,John Irving, Tod Williams,Focus Features,USA,English,111
1004,Bookies,2003,Comedy, Crime, Drama,Nick Stahl, Johnny Galecki, Lukas Haas,Mark Illsley,,Michael Bacall,,Gemini Film,"Germany, USA",English,88
1009,Judaai,1997,Drama, Romance,,Anil Kapoor, Sridevi, Urmila Matondkar,Raj Kanwar,,Jainendra Jain, S.V. Krishna Reddy,S.K. Film Enterprises,India,Hindi,167
1012,13 Ghosts,1960,Horror, Mystery,,Charles Herbert, Jo Morrow, Martin Milner,William Castle,,Robb White,,William Castle Productions,USA,English,85
1016,The Killer Inside Me,1976,Crime, Drama,,Stacy Keach, Susan Tyrrell, Tisha Sterling,Burt Kennedy,,Edward Mann, Robert Chamblee,Devi,USA,English,99
1025,The Eye 2,2004,Horror, Mystery,,Thanarat Poonnarattanakul, Qi Shu, Nuhtiya Puppatokasub,Danny Pang, Oxide Chun Pang,Yuet-Jan Hui, Lawrence Cheng,Applause Pictures,"Hong Kong, Singapore","Cantonese, English, Thai, Mandarin",95
1032,Hard Boiled,1992,Action, Crime, Thriller,Yun-Fat Chow, Tony Chiu-Wai Leung, Teresa Mo,John Woo,,John Woo, Barry Wong,Golden Princess Film Production Limited,Hong Kong,"Cantonese, English",128
1060,King's Ransom,2005,Comedy, Crime,,Anthony Anderson, Jay Mohr, Kellita Smith,Jeffrey W. Byrd,,Wayne Conley,,New Line Cinema,"USA, Canada",English,95
1065,Jackpot,2001,Drama, Comedy,,Jon Gries, Daryl Hannah, Garrett Morris,Michael Polish,,Mark Polish, Michael Polish,Polish Brothers Construction,USA,English,97
1070,Bangkok Dangerous,2000,Action, Crime, Drama,Pawarith Monkolpisit, Premsinee Ratanasopha, Patharawarin Timkul,Danny Pang, Oxide Chun Pang,Danny Pang, Oxide Chun Pang,Film Bangkok,Thailand,Thai,105
1073,Coach Carter,2005,Biography, Drama, Sport,Samuel L. Jackson, Rob Brown, Robert Ri'chard,Thomas Carter,,Mark Schwahn, John Gatins,Coach Carter,"USA, Germany",English,136
1075,Tape,2001,Drama,,,Ethan Hawke, Robert Sean Leonard, Uma Thurman,Richard Linklater,,Stephen Belber, Stephen Belber,Detour Filmproduction,USA,English,86
1091,Dostana,1980,Action, Crime, Drama,Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman,Raj Khosla,,Javed Akhtar, Salim Khan,Dharma Productions,India,Hindi,152
1094,Nicholas Nickleby,2002,Adventure, Drama, Romance,Stella Gonet, Andrew Havill, Henry McGrath,Douglas McGrath,,Charles Dickens, Douglas McGrath,United Artists Film Corporation,"UK, USA",English,132
1096,Harlem Nights,1989,Comedy, Crime, Drama,Eddie Murphy, Richard Pryor, Redd Foxx,Eddie Murphy,,Eddie Murphy,,Eddie Murphy Productions,USA,English,116
1102,Training Day,2001,Crime, Drama, Thriller,Denzel Washington, Ethan Hawke, Scott Glenn,Antoine Fuqua,,David Ayer,,Warner Bros.,USA,"English, Russian, Spanish, Korean, Greek",122
1104,Krull,1983,Action, Adventure, Fantasy,Ken Marshall, Lysette Anthony, Freddie Jones,Peter Yates,,Stanford Sherman,,Columbia Pictures,UK,English,116
1105,RoboCop 3,1993,Action, Crime, Sci-Fi,Robert John Burke, Mario Machado, Remy Ryan,Fred Dekker,,Edward Neumeier, Michael Miner,Orion Pictures,USA,"English, Japanese",104
1110,Secondhand Lions,2003,Comedy, Drama, Family,Michael Caine, Robert Duvall, Haley Joel Osment,Tim McCanlies,,Tim McCanlies,,New Line Cinema,USA,English,111
1116,Runaway,1984,Action, Crime, Sci-Fi,Tom Selleck, Cynthia Rhodes, Gene Simmons,Michael Crichton,,Michael Crichton,,TriStar Pictures,USA,English,99
1117,Vegas in Space,1991,Comedy, Sci-Fi,,Doris Fish, Miss X, Ginger Quest,Phillip R. Ford,,Doris Fish, Miss X,Troma Entertainment,USA,English,85
1128,Sweet Sweetback's Baadasssss Song,1971,Action, Crime, Drama,Melvin Van Peebles, Hubert Scales, John Dullaghan,Melvin Van Peebles,,Melvin Van Peebles,,Yeah,USA,English,97
1133,Malibu Spring Break,2003,Comedy,,,Charity Rahmer, Kristin Novak, Pilar M. Lastra,Kevin Lewis,,Kevin Lewis,,New Gold Dream Pictures Inc.,USA,English,77
1138,Freddy vs. Jason,2003,Action, Horror,,Robert Englund, Ken Kirzinger, Monica Keena,Ronny Yu,,Wes Craven, Victor Miller,New Line Cinema,"Canada, USA",English,97
1142,Polyester,1981,Comedy,,,Divine, Tab Hunter, Edith Massey,John Waters,,John Waters,,New Line Cinema,USA,English,86
1152,Charisma,1999,Drama, Mystery,,Kôji Yakusho, Hiroyuki Ikeuchi, Ren Osugi,Kiyoshi Kurosawa,,Kiyoshi Kurosawa,,King Records,Japan,Japanese,104
1157,Chinese Box,1997,Drama, Romance,,Jeremy Irons, Chaplin Chang, Li Gong,Wayne Wang,,Jean-Claude Carrière, Jean-Claude Carrière,Canal+,"France, Japan, USA","English, Cantonese",99
1160,In Too Deep,1999,Crime, Thriller, Drama,Omar Epps, LL Cool J, Nia Long,Michael Rymer,,Michael Henry Brown, Paul Aaron,Dimension Films,USA,English,95
1162,Onmyoji 2,2003,Action, Fantasy,,Mansai Nomura, Hideaki Itô, Kiichi Nakai,Yôjirô Takita,,Itaru Era, Yôjirô Takita,Dentsu,Japan,Japanese,112
